,Id,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,Quality
132,1168,8.0,0.37,0.32,1.6,0.04,32.0,166.0,0.992,3.0,0.55,11.3,1
133,3198,7.3,0.26,0.31,1.6,0.04,39.0,173.0,0.9918,3.19,0.51,11.4,1
134,3520,6.6,0.4,0.46,6.2,56.0,42.0,241.0,0.9968,3.5,0.6,9.9,0
135,1747,6.8,0.26,0.24,1.9,43.0,70.0,154.0,0.99273,3.18,0.52,10.5,0
136,1394,5.1,0.31,0.3,0.9,37.0,28.0,152.0,0.992,3.54,0.56,10.1,1
137,501,4.4,0.46,0.1,2.8,24.0,31.0,111.0,0.98816,3.48,0.34,13.1,1
138,2167,6.9,0.19,0.28,5.0,58.0,14.0,146.0,0.9952,3.29,0.36,9.1,1
139,3326,6.2,0.34,0.3,11.1,47.0,28.0,237.0,0.9981,3.18,0.49,8.7,0
140,2337,6.9,0.4,0.56,11.2,43.0,40.0,142.0,0.9975,3.14,0.46,8.7,0
141,4166,5.4,0.27,0.22,4.6,22.0,29.0,107.0,0.98889,3.33,0.54,13.8,1
142,66,7.4,0.19,0.3,12.8,53.0,48.5,229.0,0.9986,3.14,0.49,9.1,1
143,4133,6.8,0.28,0.37,7.0,57.0,35.0,208.0,0.9973,3.57,0.55,10.2,0
144,2614,7.3,0.23,0.34,9.3,52.0,19.0,86.0,0.99574,3.04,0.56,10.0,0
145,3646,6.2,0.44,0.18,7.7,96.0,28.0,210.0,0.99771,3.56,0.72,9.2,0
146,1955,8.5,0.19,0.49,3.5,44.0,29.0,117.0,0.9938,3.14,0.51,10.1,1
147,1418,7.0,0.24,0.32,1.3,37.0,39.0,123.0,0.992,3.17,0.42,11.2,1
148,1842,5.9,0.28,0.39,1.4,31.0,34.86378539493293,147.0,0.98836,3.08,0.64,12.9,1
149,1341,6.6,0.41,0.27,10.7,0.11,20.0,103.0,0.99672,3.08,0.41,9.0,1
150,542,6.4,0.19,0.42,2.9,32.0,32.0,83.0,0.9908,3.3,0.41,11.7,1
151,1254,6.9,0.24,0.4,15.4,52.0,81.0,198.0,0.9986,3.2,0.69,9.4,0
152,1241,7.2,0.23,0.39,14.2,58.0,49.0,192.0,0.9979,2.98,0.48,9.0,1
153,1532,7.0,0.23,0.26,7.2,41.0,21.0,90.0,0.99509,3.22,0.55,9.5,1
154,83,7.2,0.15,0.39,1.8,43.0,21.0,159.0,0.9948,3.52,0.47,10.0,0
155,3423,6.5,0.24,0.24,1.6,46.0,15.0,60.0,0.9928,3.19,0.39,9.8,0
156,2011,6.9,0.44,0.27,5.0,38.0,33.0,166.0,0.99124,3.2,0.42,12.2,1
157,2703,7.0,0.32,0.29,7.6,25.0,35.0,124.0,0.99162,3.15,0.65,12.8,1
158,472,6.7,0.13,0.32,3.7,17.0,32.0,99.0,0.99348,3.12,0.44,10.0,1
159,143,6.9,0.19,0.35,5.0,67.0,32.0,150.0,0.995,3.36,0.48,9.8,0
160,830,6.7,0.18,0.28,10.2,39.0,29.0,115.0,0.99469,3.11,0.45,10.9,1
161,142,5.7,0.45,0.42,1.1,51.0,61.0,197.0,0.9932,3.02,0.4,9.0,0
162,4217,7.6,0.17,0.27,4.6,0.05,23.0,98.0,0.99422,3.08,0.47,9.5,1
163,2205,8.6,0.37,0.7,12.15,39.0,21.0,158.0,0.9983,3.0,0.73,9.3,1
164,3603,8.7,0.31,0.73,14.35,44.0,27.0,191.0,1.00013,2.96,0.88,8.7,0
165,2512,4.8,0.65,0.12,1.1,13.0,4.0,10.0,0.99246,3.32,0.36,13.5,0
166,493,7.5,0.3,0.71,1.3,0.16,44.0,149.0,0.9948,3.08,0.42,8.9,0
167,48,7.6,0.48,0.28,10.4,49.0,57.0,205.0,0.99748,3.24,0.45,9.3,0
168,1939,7.3,0.205,0.31,1.7,0.06,34.0,110.0,0.9963,3.72,0.69,10.5,1
169,929,6.1,0.2,0.4,1.9,28.0,32.0,138.0,0.9914,3.26,0.72,11.7,0
170,3615,5.3,0.31,0.38,10.5,31.0,53.0,140.0,0.99321,3.34,0.46,11.7,1
171,2291,6.4,0.45,0.07,1.1,0.03,10.0,131.0,0.9905,2.97,0.28,10.8,0
172,2414,8.5,0.24,0.39,10.4,44.0,20.0,142.0,0.9974,3.2,0.53,10.0,1
173,4158,5.4,0.22,0.35,6.5,29.0,26.0,87.0,0.99092,3.29,0.44,12.5,1
174,342,6.8,0.28,0.17,13.9,47.0,49.0,162.0,0.9983,3.21,0.51,9.0,1
175,99,7.2,0.29,0.18,8.2,42.0,41.0,180.0,0.99644,3.16,0.49,9.1,0
176,2498,7.2,0.18,0.45,4.4,46.0,57.0,166.0,0.9943,3.13,0.62,11.2,1
177,469,7.3,0.25,0.41,1.8,37.0,52.0,165.0,0.9911,3.29,0.39,12.2,1
178,1178,7.9,0.22,0.24,4.6,44.0,39.0,159.0,0.9927,2.99,0.28,11.5,1
179,627,5.0,0.24,0.19,5.0,43.0,17.0,101.0,0.99403341877794,3.67,0.57,10.0,0
180,685,6.5,0.18,0.48,18.0,54.0,56.0,183.0,1.00038,2.98,0.61,8.5,1
181,2548,6.4,0.23,0.26,8.1,54.0,47.0,181.0,0.9954,3.12,0.49,9.4,0
182,262,6.8,0.27,0.24,4.6,98.0,36.0,127.0,0.99412,3.15,0.49,9.6,1
183,2815,6.0,0.33,0.2,1.8,31.0,49.0,159.0,0.9919,3.41,0.53,11.0,1
184,3290,7.4,0.31,0.28,1.6,0.05,33.0,137.0,0.9929,3.31,0.56,10.5,1
185,1673,6.1,0.3,0.56,2.8,44.0,47.0,179.0,0.9924,3.3,0.57,10.9,1
186,3151,5.5,0.17,0.23,2.9,39.0,10.0,108.0,0.99243,3.28,0.5,10.0,0
187,239,8.2,0.27,0.43,1.6,35.0,31.0,128.0,0.9916,3.1,0.5,12.3,1
188,2607,8.3,0.19,0.49,1.2,51.0,11.0,137.0,0.9918,3.06,0.46,11.0,1
189,1180,6.3,0.23,0.5,10.4,43.0,61.0,132.0,0.99542,2.86,0.46,9.1,1
190,804,6.8,0.28,0.36,8.0,45.0,28.0,123.0,0.9928,3.02,0.37,11.4,1
191,1284,6.8,0.31,0.19,3.5,86.0,30.0,130.0,0.993,2.83,0.44,9.6,0
192,2694,7.2,0.32,0.33,1.4,29.0,29.0,109.0,0.9902,3.15,0.51,12.8,1
193,1873,7.4,0.38,0.27,7.5,41.0,24.0,160.0,0.99535,3.17,0.43,10.0,0
195,4225,8.6,0.27,0.46,6.1,32.0,13.0,41.0,0.993,2.89,0.34,10.9,0
196,2344,7.6,0.48,0.33,7.0,24.0,14.0,130.0,0.9918,3.25,0.45,12.5,1
197,1111,6.6,0.58,0.3,5.1,57.0,30.0,123.0,0.9949,3.24,0.38,9.0,0
198,3311,7.5,0.24,0.31,13.1,0.05,26.0,180.0,0.99884,3.05,0.53,9.1,1
199,2363,6.1,0.28,0.25,17.75,44.0,48.0,161.0,0.9993,3.34,0.48,9.5,0
200,4600,6.9,0.2,0.4,7.7,32.0,51.0,176.0,0.9939,3.22,0.27,11.4,0
201,1070,7.7,0.28,0.35,15.3,56.0,31.0,117.0,0.9998,3.27,0.5,9.6,0
202,527,5.7,0.14,0.3,5.4,45.0,26.0,105.0,0.99469,3.32,0.45,9.3,0
203,479,7.3,0.24,0.34,15.4,0.05,38.0,174.0,0.9983,3.03,0.42,9.0,1
204,2896,6.6,0.26,0.36,1.2,35.0,43.0,126.0,0.99094,3.01,0.63,11.4,1
205,3281,5.8,0.42,0.3,2.2,35.0,26.0,129.0,0.989,3.32,0.47,12.9,1
206,1989,6.8,0.3,0.29,6.2,25.0,29.0,95.0,0.99071,3.03,0.32,12.9,1
207,653,7.5,0.305,0.38,1.4,47.0,30.0,95.0,0.99158,3.22,0.52,11.5,1
208,3737,6.7,0.46,0.21,4.0,34.0,12.0,88.0,0.99016,3.26,0.54,13.0,1
209,4431,7.2,0.32,0.24,5.6,33.0,23.0,120.0,0.99334,2.92,0.66,10.3,1
210,87,5.5,0.16,0.31,1.2,26.0,31.0,68.0,0.9898,3.33,0.44,11.65,1
211,2385,6.3,0.27,0.37,7.9,47.0,58.0,215.0,0.99542,3.19,0.48,9.5,1
212,3537,7.5,0.18,0.31,6.5,29.0,53.0,160.0,0.99276,3.03,0.486972586412398,10.9,1
213,2327,7.2,0.2,0.38,1.0,37.0,21.0,74.0,0.9918,3.21,0.37,11.0,0
214,1095,7.8,0.26,0.31,3.6,25.0,22.0,100.0,0.99066,2.99,0.47,12.1,1
215,2102,6.9,0.19,0.33,1.6,43.0,63.0,149.0,0.9925,3.44,0.52,10.8,0
216,1297,6.4,0.27,0.29,3.9,34.0,62.0,140.0,0.99237,3.1,0.59,11.1,1
217,4292,6.1,0.18,0.38,2.3,33.0,28.0,111.0,0.98962,3.16,0.49,12.4,1
218,3101,7.4,0.26,0.43,6.0,22.0,22.0,125.0,0.9928,3.13,0.55,11.5,1
219,4455,8.2,0.35,0.4,6.3,39.0,35.0,162.0,0.9936,3.15,0.34,11.9,1
220,61,5.8,0.33,0.23,5.0,53.0,29.0,106.0,0.99458,3.13,0.52,9.0,0
221,1777,6.7,0.41,0.27,2.6,33.0,25.0,85.0,0.99086,3.05,0.34,11.7,1
222,2012,6.6,0.16,0.57,1.1,0.13,58.0,140.0,0.9927,3.12,0.39,9.3,1
223,540,6.9,0.25,0.26,5.2,24.0,36.0,135.0,0.9948,3.16,0.72,10.7,1
224,1140,6.6,0.13,0.3,4.9,58.0,47.0,131.0,0.9946,3.51,0.45,10.3,1
225,662,7.2,0.37,0.4,11.6,32.0,34.0,214.0,0.9963,3.1,0.51,9.8,1
226,4568,6.8,0.43,0.26,5.2,43.0,40.0,176.0,0.99116,3.17,0.41,12.3,1
227,958,7.7,0.31,0.26,7.8,31.0,23.0,90.0,0.9944,3.13,0.5,10.4,0
228,2313,6.6,0.23,0.32,0.9,41.0,25.0,79.0,0.9926,3.39,0.54,10.2,1
229,3928,6.4,0.2,0.28,2.5,32.0,24.0,84.0,0.99168,3.31,0.55,11.5,0
231,1880,7.1,0.24,0.34,1.2,45.0,6.0,132.0,0.99132,3.16,0.46,11.2,0
232,1306,6.8,0.27,0.28,7.8,38.0,26.0,89.0,0.9915,3.24,0.34,12.5,1
233,4524,5.1,0.26,0.34,6.4,34.0,26.0,99.0,0.99449,3.23,0.41,9.2,1
234,235,8.2,0.37,0.36,1.0,34.0,17.0,93.0,0.9906,3.04,0.32,11.7,1
235,3472,7.7,0.12,0.32,1.4,0.06,47.0,150.0,0.9952,3.37,0.42,9.2,1
236,4233,8.1,0.24,0.33,10.2,48.0,46.0,138.39865871833084,0.9972,3.16,0.48,10.3,1
237,4022,8.3,0.15,0.39,1.3,55.0,32.0,146.0,0.993,3.08,0.39,10.5,1
238,1289,6.1,0.22,0.4,1.85,31.0,25.0,111.0,0.98966,3.03,0.3,11.8,1
239,1076,9.8,0.16,0.46,1.8,46.0,23.0,130.0,0.99587,3.04,0.67,9.6,0
240,1359,6.2,0.28,0.33,1.7,29.0,24.0,111.0,0.99,3.24,0.5,12.1,1
241,1448,7.0,0.34,0.1,3.5,44.0,17.0,63.0,0.9937,3.01,0.39,9.2,0
242,2712,4.7,0.455,0.18,1.9,36.0,33.0,106.0,0.98746,3.21,0.83,14.0,1
243,2801,6.6,0.21,0.29,1.8,26.0,35.0,128.0,0.99183,3.37,0.48,11.2,1
244,477,7.6,0.39,0.32,3.6,35.0,22.0,93.0,0.99144,3.08,0.6,12.5,1
245,2196,6.4,0.42,0.19,9.3,43.0,28.0,145.0,0.99433,3.23,0.53,10.98,0
246,210,6.2,0.29,0.26,13.1,46.0,55.0,204.0,0.99745,3.16,0.41,9.6,1
247,2899,6.8,0.22,0.35,17.5,39.0,38.0,153.0,0.9994,3.24,0.42,9.0,1
248,4205,6.4,0.16,0.22,1.4,0.04,41.0,149.0,0.9933,3.49,0.58,10.0,1
249,4214,6.1,0.4,0.18,9.0,51.0,28.5,259.0,0.9964,3.19,0.5,8.8,0
250,4009,7.3,0.51,0.26,3.3,0.09,7.0,135.0,0.9944,3.01,0.52,8.8,0
251,2096,7.5,0.42,0.14,10.7,46.0,18.0,95.0,0.9959,3.22,0.33,10.7,0
252,1625,8.5,0.15,0.49,1.5,31.0,17.0,122.0,0.9932,3.03,0.4,10.3,1
253,1714,7.1,0.2,0.31,6.85,53.0,32.0,211.0,0.99587,3.31,0.59,10.4,1
254,4139,7.4,0.24,0.26,1.6,58.0,53.0,150.0,0.9936,3.18,0.5,9.9,1
255,3019,5.5,0.31,0.29,3.0,27.0,16.0,102.0,0.99067,3.23,0.56,11.2,1
256,1834,7.1,0.36,0.28,2.4,36.0,35.0,115.0,0.98936,3.19,0.44,13.5,1
257,2112,8.1,0.17,0.44,14.1,53.0,43.0,145.0,1.0006,3.28,0.75,8.8,1
259,3230,8.2,0.23,0.37,1.3,42.0,39.0,117.0,0.9928,2.99,0.36,10.0,0
260,2070,6.8,0.12,0.3,12.9,49.0,32.0,88.0,0.99654,3.2,0.35,9.9,1
261,1807,7.1,0.27,0.28,1.25,23.0,3.0,89.0,0.98993,2.95,0.3,11.4,0
262,1766,7.6,0.27823801012809013,0.46,14.7,47.0,33.0,151.0,0.99709,3.03,0.53,10.3,0
263,2948,8.1,0.2,0.36,9.7,44.0,63.0,162.0,0.997,3.1,0.46,10.0,1
264,3032,7.7,0.34,0.28,11.0,0.04,31.0,117.0,0.99815,3.27,0.29,9.2,1
265,259,6.4,0.18,0.32,9.6,52.0,24.0,90.0,0.9963,3.35,0.49,9.4,1
266,2019,6.9,0.48,0.36,3.5,0.03,31.0,135.0,0.9904,3.14,0.38,12.2,1
267,2218,6.1,0.22,0.46,1.8,0.16,34.0,74.0,0.9884,3.19,0.33,13.4,1
268,690,8.8,0.33,0.44,6.35,24.0,9.0,87.0,0.9917,2.96,0.4,12.6,1
269,1328,6.1,0.255,0.44,12.3,45.0,53.0,197.0,0.9967,3.24,0.54,9.5,1
271,513,6.3,0.24,0.29,13.7,35.0,53.0,134.0,0.99567,3.17,0.38,10.6,1
272,3730,5.0,0.33,0.16,1.5,49.0,10.0,97.0,0.9917,3.48,0.44,10.7,1
273,4589,6.7,0.26,0.26,4.1,73.0,36.0,202.0,0.9956,3.3,0.67,9.5,0
274,271,6.4,0.29,0.57,1.0,0.06,15.0,120.0,0.9924,3.06,0.41,9.5,0
275,2825,6.0,0.615,0.04,0.8,32.0,8.0,50.0,0.99036,3.14,0.4,11.0,0
276,3343,7.1,0.43,0.25,2.8,36.0,43.0,132.0,0.98975,3.21,0.47,13.4,1
277,2349,5.8,0.385,0.25,3.7,31.0,38.0,122.0,0.99128,3.2,0.63,11.2,1
278,2199,7.4,0.2,0.37,16.95,48.0,43.0,190.0,0.9995,3.03,0.42,9.2,1
