,Id,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,Quality
140,534,7.0,0.48,0.12,4.5,0.05,23.0,86.0,0.99398,2.86,0.35,9.0,1
141,539,7.5,0.23,0.35,17.8,58.0,128.0,212.0,1.00241,3.44,0.43,8.9,1
142,548,6.3,0.18,0.24,3.4,53.0,20.0,119.0,0.99373,3.11,0.52,9.2,1
143,552,5.0,0.31,0.0,6.4,46.0,43.0,166.0,0.994,3.3,0.63,9.9,1
144,553,6.1,0.27,0.31,1.5,35.0,17.0,83.0,0.99076,3.32,0.44,11.1,1
145,554,6.1,0.21,0.3,6.3,39.0,47.0,136.0,0.99068,3.27,0.31,12.7,1
146,555,6.6,0.22,0.28,12.05,58.0,25.0,125.0,0.99856,3.45,0.45,9.4,1
147,560,6.2,0.27,0.43,7.8,56.0,48.0,244.0,0.9956,3.1,0.51,9.0,1
148,562,6.9,0.19,0.38,1.15,23.0,30.0,105.0,0.99047,3.11,0.38,11.4,1
149,565,6.0,0.11,0.47,10.6,52.0,69.0,148.0,0.9958,2.91,0.34,9.3,1
150,567,7.9,0.18,0.37,3.0,61.0,25.0,178.0,0.995,3.22,0.51,10.0,1
151,569,7.4,0.34,0.3,14.9,37.0,70.0,169.0,0.99698,3.25,0.37,10.4,1
152,571,6.3,0.695,0.55,12.9,56.0,58.0,252.0,0.99806,3.29,0.49,8.7,1
153,572,7.4,0.25,0.37,2.6,0.05,24.0,132.0,0.99138,3.04,0.53,11.2,1
154,573,9.0,0.26,0.34,6.7,29.0,21.0,162.0,0.99497,3.08,0.5,10.6,1
155,574,7.0,0.24,0.47,1.3,43.0,18.0,131.0,0.99176,3.19,0.45,11.0,1
156,575,5.3,0.23,0.56,0.9,41.0,46.0,141.0,0.99119,3.16,0.62,9.7,1
157,579,6.6,0.26,0.27,1.5,0.04,19.0,114.0,0.99295,3.36,0.62,10.5,1
158,580,6.8,0.2,0.27,1.2,34.0,19.0,68.0,0.9902,3.14,0.37,11.7,1
159,586,8.3,0.18,0.37,1.2,49.0,6.0,94.0,0.9937,3.18,0.52,10.1,1
160,591,5.7,0.27,0.16,9.0,53.0,32.0,111.0,0.99474,3.36,0.37,10.4,1
161,593,6.8,0.34,0.27,5.2,0.06,14.0,169.0,0.99252,3.27,0.57,11.6,1
162,598,6.3,0.36,0.28,2.5,35.0,18.0,73.0,0.98868,3.1,0.47,12.8,1
163,599,6.4,0.32,0.23,16.2,55.0,36.0,176.0,0.9986,3.26,0.54,9.1,1
164,600,7.1,0.37,0.67,10.5,45.0,49.0,155.0,0.9975,3.16,0.44,8.7,1
165,601,6.6,0.38,0.28,2.8,43.0,17.0,67.0,0.98924,3.21,0.47,13.2,1
166,611,6.5,0.46,0.31,5.0,27.0,15.0,72.0,0.99165,3.26,0.6,11.5,1
167,616,7.2,0.27,0.28,15.2,46.0,6.0,41.0,0.99665,3.17,0.39,10.9,1
168,617,5.1,0.35,0.26,6.8,34.0,36.0,120.0,0.99188,3.38,0.4,11.5,1
169,621,6.6,0.39,0.22,4.0,38.0,17.0,98.0,0.99018,3.25,0.53,13.0,1
170,625,6.4,0.25,0.32,5.5,49.0,41.0,176.0,0.995,3.19,0.68,9.2,1
171,626,6.6,0.21,0.39,2.3,41.0,31.0,102.0,0.99221,3.22,0.58,10.9,1
172,632,7.4,0.36,0.23,1.9,17.0,31.0,69.0,0.9892,2.93,0.36,12.5,1
173,634,6.5,0.23,0.39,1.9,36.0,41.0,98.0,0.99,3.19,0.43,11.9,1
174,640,6.4,0.15,0.36,1.8,34.0,43.0,150.0,0.9922,3.42,0.69,11.0,1
175,643,7.4,0.25,0.29,6.8,0.02,31.0,113.0,0.99338,3.13,0.29,10.8,1
176,645,6.0,0.36,0.39,3.2,27.0,20.0,125.0,0.991,3.38,0.39,11.3,1
177,648,6.0,0.27,0.31,5.0,43.0,54.0,170.0,0.9924,3.28,0.52,11.0,1
178,650,6.5,0.3,0.39,7.8,38.0,61.0,219.0,0.9959,3.19,0.5,9.4,1
179,659,7.1,0.22,0.32,16.9,56.0,49.0,158.0,0.9998,3.37,0.38,9.6,1
180,661,7.7,0.24,0.3,1.4,41.0,15.0,102.0,0.9929,3.26,0.53,10.4,1
181,664,6.8,0.22,0.31,6.9,37.0,33.0,121.0,0.99176,3.02,0.39,11.9,1
182,669,7.4,0.2,0.28,9.1,47.0,29.0,95.0,0.99532,3.16,0.47,9.8,1
183,672,7.8,0.24,0.38,2.1,58.0,14.0,167.0,0.994,3.21,0.55,9.9,1
184,675,7.7,0.49,1.0,19.6,0.03,28.0,135.0,0.9973,3.24,0.4,12.0,1
185,676,6.8,0.32,0.3,1.0,49.0,22.0,113.0,0.99289,3.24,0.61,10.2,1
186,681,9.7,0.24,0.49,4.9,32.0,3.0,18.0,0.99368,2.85,0.54,10.0,1
187,687,6.4,0.24,0.23,7.3,69.0,31.0,157.0,0.9962,3.25,0.53,9.1,1
188,696,6.6,0.56,0.15,10.0,37.0,38.0,157.0,0.99642,3.28,0.52,9.4,1
189,697,7.5,0.38,0.33,9.2,43.0,19.0,116.0,0.99444,3.08,0.42,11.4,1
190,703,8.6,0.265,0.36,1.2,34.0,15.0,80.0,0.9913,2.95,0.36,11.4,1
191,704,7.0,0.29,0.33,0.9,41.0,20.0,117.0,0.99048,3.21,0.5,11.4,1
192,707,7.4,0.18,0.24,1.4,47.0,21.0,106.0,0.99383,3.52,0.64,10.5,1
193,713,6.0,0.26,0.15,1.3,0.06,51.0,154.0,0.99354,3.14,0.51,8.7,1
194,714,5.6,0.2,0.66,10.2,43.0,78.0,175.0,0.9945,2.98,0.43,10.4,1
195,717,7.4,0.27,0.48,1.1,47.0,17.0,132.0,0.9914,3.19,0.49,11.6,1
196,724,6.8,0.19,0.33,4.9,47.0,42.0,130.0,0.99283,3.12,0.56,11.0,1
197,736,6.4,0.31,0.4,6.2,0.04,46.0,169.0,0.9953,3.15,0.46,9.3,1
198,737,6.6,0.16,0.21,6.7,55.0,43.0,157.0,0.99384,3.15,0.52,10.8,1
199,738,7.3,0.26,0.32,1.2,41.0,29.0,94.0,0.98978,3.07,0.45,12.0,1
200,743,6.6,0.34,0.4,8.1,46.0,68.0,170.0,0.99494,3.15,0.5,9.53333333333333,1
201,747,6.6,0.24,0.28,6.7,32.0,26.0,91.0,0.99172,3.13,0.32,12.3,1
202,748,6.5,0.28,0.33,15.7,53.0,51.0,190.0,0.9978,3.22,0.51,9.7,1
203,757,6.8,0.34,0.44,6.6,52.0,28.0,156.0,0.9955,3.14,0.41,9.6,1
204,761,6.5,0.43,0.28,12.0,56.0,23.0,174.0,0.9986,3.31,0.55,9.3,1
205,762,6.5,0.14,0.33,7.6,0.05,53.0,189.0,0.9966,3.25,0.49,8.6,1
206,764,7.0,0.28,0.33,14.6,43.0,47.0,168.0,0.9994,3.34,0.67,8.8,1
207,772,5.3,0.32,0.23,9.65,26.0,26.0,119.0,0.99168,3.18,0.53,12.2,1
208,775,5.2,0.36,0.02,1.6,31.0,24.0,104.0,0.9896,3.44,0.35,12.2,1
209,778,6.2,0.3,0.2,6.6,45.0,42.0,170.0,0.9944,3.36,0.45,10.4,1
210,779,6.5,0.18,0.41,14.2,39.0,47.0,129.0,0.99678,3.28,0.72,10.3,1
211,780,6.1,0.27,0.32,1.1,34.0,24.0,110.0,0.9898,3.36,0.4,12.5,1
212,784,6.9,0.31,0.32,1.2,24.0,20.0,166.0,0.99208,3.05,0.54,9.8,1
213,785,7.6,0.17,0.27,4.6,0.05,23.0,98.0,0.99422,3.08,0.47,9.5,1
214,792,7.1,0.2,0.36,11.6,42.0,45.0,124.0,0.997,2.92,0.59,9.5,1
215,793,6.6,0.2,0.38,7.9,52.0,30.0,145.0,0.9947,3.32,0.56,11.0,1
216,796,6.6,0.26,0.31,4.8,138.0,41.0,168.0,0.9951,3.2,0.38,9.3,1
217,797,7.0,0.21,0.28,8.7,45.0,37.0,222.0,0.9954,3.25,0.54,10.4,1
218,811,6.9,0.54,0.32,13.2,0.05,53.0,236.0,0.9973,3.2,0.5,9.6,1
219,814,6.8,0.14,0.18,1.4,47.0,30.0,90.0,0.99164,3.27,0.54,11.2,1
220,816,6.1,0.26,0.51,2.2,0.05,61.0,154.0,0.9929,3.08,0.6,9.8,1
221,817,5.0,0.33,0.16,1.5,49.0,10.0,97.0,0.9917,3.48,0.44,10.7,1
222,819,7.9,0.44,0.26,4.45,33.0,23.0,100.0,0.99117,3.17,0.52,12.7,1
223,826,6.2,0.33,0.27,4.9,36.0,30.0,134.0,0.9927,3.2,0.42,10.4,1
224,831,6.3,0.48,0.04,1.1,46.0,30.0,99.0,0.9928,3.24,0.36,9.6,1
225,832,6.6,0.28,0.09,10.9,51.0,37.0,131.0,0.99566,2.93,0.62,9.5,1
226,834,6.2,0.22,0.28,2.2,0.04,24.0,125.0,0.9917,3.19,0.48,10.5,1
227,837,6.9,0.33,0.26,5.0,27.0,46.0,143.0,0.9924,3.25,0.43,11.2,1
228,838,5.7,0.22,0.33,1.9,36.0,37.0,110.0,0.98945,3.26,0.58,12.4,1
229,839,7.2,0.26,0.26,12.7,36.0,49.0,214.0,0.9986,3.41,0.5,10.0,1
230,842,6.8,0.18,0.28,9.8,39.0,29.0,113.0,0.99406,3.11,0.45,10.9,1
231,851,7.6,0.19,0.42,1.5,44.0,6.0,114.0,0.9914,3.04,0.74,12.8,1
232,856,6.4,0.17,0.27,1.5,37.0,20.0,98.0,0.9916,3.46,0.42,11.0,1
233,857,6.8,0.3,0.26,20.3,37.0,45.0,150.0,0.99727,3.04,0.38,12.3,1
234,859,6.0,0.29,0.21,1.3,55.0,42.0,168.0,0.9914,3.32,0.43,11.1,1
235,862,7.9,0.19,0.45,1.5,45.0,17.0,96.0,0.9917,3.13,0.39,11.0,1
236,863,6.6,0.36,0.52,10.1,0.05,29.0,140.0,0.99628,3.07,0.4,9.4,1
237,864,8.0,0.33,0.32,4.6,41.0,31.0,180.0,0.99184,2.92,0.74,12.2,1
238,866,7.1,0.21,0.4,1.2,69.0,24.0,156.0,0.9928,3.42,0.43,10.6,1
239,874,6.9,0.26,0.33,12.6,51.0,59.0,173.0,0.998,3.39,0.38,9.9,1
240,876,7.8,0.25,0.34,13.7,44.0,66.0,184.0,0.99976,3.22,0.75,8.9,1
241,889,8.2,0.68,0.3,2.1,47.0,17.0,138.0,0.995,3.22,0.71,10.8,1
242,894,6.4,0.37,0.19,3.5,68.0,18.0,101.0,0.9934,3.03,0.38,9.0,1
243,909,6.4,0.23,0.32,1.9,38.0,40.0,118.0,0.99074,3.32,0.53,11.8,1
244,910,7.1,0.35,0.24,15.4,55.0,46.0,198.0,0.9988,3.12,0.49,8.8,1
245,917,5.7,0.41,0.21,1.9,48.0,30.0,112.0,0.99138,3.29,0.55,11.2,1
246,919,7.4,0.27,0.49,1.1,37.0,33.0,156.0,0.992,3.15,0.54,11.1,1
247,920,8.1,0.5,0.47,1.1,37.0,23.0,126.0,0.9938,3.21,0.42,10.9,1
248,926,7.5,0.18,0.31,6.5,29.0,53.0,160.0,0.99276,3.03,0.38,10.9,1
249,930,6.3,0.17,0.32,4.2,0.04,37.0,117.0,0.99182,3.24,0.43,11.3,1
250,933,6.7,0.48,0.49,2.9,0.03,28.0,122.0,0.98926,3.13,0.4,13.0,1
251,936,6.0,0.17,0.3,7.3,39.0,39.0,104.0,0.99252,2.91,0.57,11.0,1
252,941,6.5,0.27,0.19,6.6,45.0,98.0,175.0,0.99364,3.16,0.34,10.1,1
253,943,6.4,0.31,0.5,5.8,38.0,42.0,111.0,0.99189,3.18,0.53,11.9,1
254,944,6.4,0.42,0.74,12.8,76.0,48.0,209.0,0.9978,3.12,0.58,9.0,1
255,945,6.9,0.33,0.21,1.0,53.0,39.0,148.0,0.9927,3.12,0.45,9.4,1
256,946,5.8,0.335,0.14,5.8,46.0,49.0,197.0,0.9937,3.3,0.71,10.3,1
257,951,6.9,0.21,0.33,1.4,56.0,35.0,136.0,0.9938,3.63,0.78,10.3,1
258,956,5.7,0.4,0.35,5.1,26.0,17.0,113.0,0.99052,3.18,0.67,12.4,1
259,960,7.3,0.23,0.37,1.8,32.0,60.0,156.0,0.992,3.11,0.35,11.1,1
260,965,5.9,0.655,0.0,5.6,33.0,8.0,31.0,0.9936,3.32,0.51,10.5,1
261,973,6.1,0.41,0.2,12.6,32.0,54.0,136.0,0.99516,2.91,0.43,10.6,1
262,975,9.2,0.22,0.4,2.4,54.0,18.0,151.0,0.9952,3.04,0.46,9.3,1
263,980,7.3,0.19,0.49,15.55,58.0,50.0,134.0,0.9998,3.42,0.36,9.1,1
264,982,6.4,0.37,0.12,5.9,56.0,6.0,91.0,0.99536,3.06,0.46,8.4,1
265,995,6.6,0.23,0.24,3.9,45.0,36.0,138.0,0.9922,3.15,0.64,11.3,1
266,996,7.6,0.27,0.29,2.5,59.0,37.0,115.0,0.99328,3.09,0.37,9.8,1
267,1003,6.0,0.36,0.06,1.4,66.0,27.0,128.0,0.9934,3.26,0.55,9.3,1
268,1004,6.9,0.17,0.3,2.0,47.0,13.0,117.0,0.99152,3.16,0.51,11.6,1
269,1005,5.6,0.12,0.33,2.9,44.0,21.0,73.0,0.98896,3.17,0.32,12.9,1
270,1008,6.7,0.25,0.23,7.2,38.0,61.0,220.0,0.9952,3.14,0.35,9.5,1
